Place,ID,Year,Region1,Region2,Type,CurrentOfstedOverall,MidYearPop,CPPAt3103,"Rate of children who were the subject of a child protection plan at 31 March per 10,000 children ",CLA_Mar2019,"Rate of children looked after at 31 March per 10,000 children aged under 18 years",CINAt3103,CINAt3103NoDisabled,Percentage of children in need at 31 March with a disability recorded,IDACI 2015: Average score (higher score is more deprived),Ppl_SqKm,PrimSecSpec_BME,% Minority Ethnic Pupils
City of London,201,2019-20,London,Inner London,City of London Corporation,Outstanding,1621,0,0,24,148,101,8,8,0.1,3361,209,76
Camden,202,2019-20,London,Inner London,London borough,Good,52407,270,52,190,36,1762,397,23,0.27,12393,16646,77
Greenwich,203,2019-20,London,Outer London,London borough,Good,69047,262,38,462,67,2219,496,22,0.27,6086,30674,70
Hackney,204,2019-20,London,Inner London,London borough,Requires improvement to be good,63866,245,38,432,68,3094,400,13,0.32,14758,28740,83
Hammersmith and Fulham,205,2019-20,London,Inner London,London borough,Good,37032,141,38,252,68,1338,81,6,0.27,11287,14846,74
Islington,206,2019-20,London,Inner London,London borough,Outstanding,42424,199,47,366,86,2091,299,14,0.35,16321,17733,73
Kensington and Chelsea,207,2019-20,London,Inner London,London borough,Outstanding,28923,42,15,106,37,808,105,13,0.17,12876,10261,80
Lambeth,208,2019-20,London,Inner London,London borough,Requires improvement to be good,62085,229,37,358,58,2419,335,14,0.3,12156,30867,84
Lewisham,209,2019-20,London,Inner London,London borough,Requires improvement to be good,68561,257,38,472,69,2490,422,17,0.3,8702,29038,76
Southwark,210,2019-20,London,Inner London,London borough,Good,65302,285,44,458,70,2820,550,20,0.3,11045,33055,79
Tower Hamlets,211,2019-20,London,Inner London,London borough,Good,72290,235,33,307,42,2860,332,12,0.39,16427,41387,91
Wandsworth,212,2019-20,London,Inner London,London borough,Requires improvement to be good,64462,231,36,277,43,2024,202,10,0.21,9624,24561,73
Westminster,213,2019-20,London,Inner London,London borough,Outstanding,48791,56,12,219,45,1497,216,14,0.29,12167,19109,87
Barking and Dagenham,301,2019-20,London,Outer London,London borough,Requires improvement to be good,63547,335,53,402,63,2352,138,6,0.32,5898,34697,79
Barnet,302,2019-20,London,Outer London,London borough,Good,93672,156,17,325,35,1858,203,11,0.18,4563,41478,71
Bexley,303,2019-20,London,Outer London,London borough,Outstanding,57087,147,26,222,39,1757,285,16,0.19,4099,19967,46
Brent,304,2019-20,London,Outer London,London borough,Good,77687,254,33,299,38,2401,229,10,0.27,7628,42354,91
Bromley,305,2019-20,London,Outer London,London borough,Good,74982,294,39,331,44,2419,517,21,0.17,2214,21143,42
Croydon,306,2019-20,London,Outer London,London borough,Good,94931,498,53,791,83,4339,578,13,0.23,4471,42036,74
Ealing,307,2019-20,London,Outer London,London borough,Requires improvement to be good,82172,195,24,332,40,3412,306,9,0.23,6154,46375,86
Enfield,308,2019-20,London,Outer London,London borough,Good,84309,177,21,374,44,2463,554,23,0.31,4130,45610,81
Haringey,309,2019-20,London,Inner London,London borough,Requires improvement to be good,59847,153,26,403,67,2284,174,8,0.29,9076,30438,80
Harrow,310,2019-20,London,Outer London,London borough,Good,59375,273,46,185,31,1650,265,16,0.17,4977,33943,91
Havering,311,2019-20,London,Outer London,London borough,Good,58361,142,24,232,40,1737,258,15,0.2,2310,15598,40
Hillingdon,312,2019-20,London,Outer London,London borough,Good,74077,263,36,337,45,2191,256,12,0.21,2652,36835,71
Hounslow,313,2019-20,London,Outer London,London borough,Good,65232,189,29,269,41,1939,259,13,0.22,4851,36247,82
Kingston upon Thames,314,2019-20,London,Outer London,London borough,Outstanding,39528,212,54,125,32,977,72,7,0.12,4764,14561,56
Merton,315,2019-20,London,Outer London,London borough,Good,47409,91,19,154,32,1048,207,20,0.17,5490,19605,69
Newham,316,2019-20,London,Inner London,London borough,Inadequate,86068,367,43,411,48,3374,310,9,0.29,9756,60293,95
Redbridge,317,2019-20,London,Outer London,London borough,Outstanding,76247,318,42,237,31,2130,527,25,0.19,5411,50539,88
Richmond upon Thames,318,2019-20,London,Outer London,London borough,Good,45865,161,35,122,27,813,79,10,0.09,3450,11989,44
Sutton,319,2019-20,London,Outer London,London borough,Good,48463,218,45,233,48,1739,450,26,0.16,4706,21675,55
Waltham Forest,320,2019-20,London,Outer London,London borough,Good,66757,205,31,304,46,2028,75,4,0.27,7137,34760,82
Birmingham,330,2019-20,West Midlands,West Midlands,Metropolitan borough council,Requires improvement to be good,287393,1276,44,1928,67,8778,1103,13,0.31,4264,143478,71
Coventry,331,2019-20,West Midlands,West Midlands,Metropolitan borough council,Requires improvement to be good,79765,400,50,701,88,3418,361,11,0.25,3766,30208,53
Dudley,332,2019-20,West Midlands,West Midlands,Metropolitan borough council,Requires improvement to be good,69544,352,51,623,90,2210,239,11,0.22,3283,12099,26
Sandwell,333,2019-20,West Midlands,West Midlands,Metropolitan borough council,Inadequate,82449,662,80,865,105,3446,379,11,0.3,3839,35044,58
Solihull,334,2019-20,West Midlands,West Midlands,Metropolitan borough council,Requires improvement to be good,47549,154,32,461,97,1477,361,24,0.16,1214,11195,28
Walsall,335,2019-20,West Midlands,West Midlands,Metropolitan borough council,Requires improvement to be good,68970,240,35,671,97,2109,61,3,0.28,2746,21939,42
Wolverhampton,336,2019-20,West Midlands,West Midlands,Metropolitan borough council,Good,62276,264,42,588,94,2157,310,14,0.31,3793,26842,57
Knowsley,340,2019-20,North West,North West,Metropolitan borough council,Requires improvement to be good,33802,171,51,307,91,1098,131,12,0.34,1744,1670,8
Liverpool,341,2019-20,North West,North West,Metropolitan borough council,Requires improvement to be good,96052,544,57,1424,148,4156,297,7,0.33,4453,20376,28
St. Helens,342,2019-20,North West,North West,Metropolitan borough council,Inadequate,36868,205,56,496,135,1757,165,9,0.26,1324,1861,7
Sefton,343,2019-20,North West,North West,Metropolitan borough council,Requires improvement to be good,54057,258,48,566,105,2270,263,12,0.21,1765,3783,10
Wirral,344,2019-20,North West,North West,Metropolitan borough council,Requires improvement to be good,67508,283,42,812,120,2491,305,12,0.24,2013,4616,9
Bolton,350,2019-20,North West,North West,Metropolitan borough council,Good,68385,317,46,632,92,2102,108,5,0.23,2057,21488,41
Bury,351,2019-20,North West,North West,Metropolitan borough council,Requires improvement to be good,43289,146,34,342,79,1302,211,16,0.18,1920,8314,28
Manchester,352,2019-20,North West,North West,Metropolitan borough council,Requires improvement to be good,122914,731,60,1407,114,5330,524,10,0.34,4781,57639,65
Oldham,353,2019-20,North West,North West,Metropolitan borough council,Requires improvement to be good,59592,386,65,520,87,2460,267,11,0.26,1666,20814,47
Rochdale,354,2019-20,North West,North West,Metropolitan borough council,Requires improvement to be good,53299,323,61,535,100,2532,287,11,0.27,1407,15066,41
Salford,355,2019-20,North West,North West,Metropolitan borough council,Good,57452,548,95,558,97,2404,222,9,0.28,2663,10709,29
Stockport,356,2019-20,North West,North West,Metropolitan borough council,Good,63518,208,33,368,58,2197,293,13,0.16,2328,8240,19
Tameside,357,2019-20,North West,North West,Metropolitan borough council,Requires improvement to be good,50664,360,71,704,139,2224,106,5,0.25,2196,8801,24
Trafford,358,2019-20,North West,North West,Metropolitan borough council,Inadequate,56511,205,36,378,67,1420,92,7,0.14,2238,15053,36
Wigan,359,2019-20,North West,North West,Metropolitan borough council,Good,68916,377,55,533,77,3228,415,13,0.2,1747,4692,10
Barnsley,370,2019-20,Yorkshire and the Humber,Yorkshire and the Humber,Metropolitan borough council,Good,51083,285,56,300,59,1809,261,14,0.25,750,3230,9
Doncaster,371,2019-20,Yorkshire and the Humber,Yorkshire and the Humber,Metropolitan borough council,Good,66918,301,45,504,75,2436,241,10,0.25,549,7916,17
Rotherham,372,2019-20,Yorkshire and the Humber,Yorkshire and the Humber,Metropolitan borough council,Good,57522,448,78,595,103,2549,136,5,0.24,926,8386,19
Sheffield,373,2019-20,Yorkshire and the Humber,Yorkshire and the Humber,Metropolitan borough council,Good,117736,722,61,626,53,3860,528,14,0.24,1590,30348,37
Bradford,380,2019-20,Yorkshire and the Humber,Yorkshire and the Humber,Metropolitan borough council,Inadequate,142580,953,67,1245,87,5315,421,8,0.25,1473,58445,59
Calderdale,381,2019-20,Yorkshire and the Humber,Yorkshire and the Humber,Metropolitan borough council,Good,46118,274,59,330,72,1427,111,8,0.21,581,9702,27
Kirklees,382,2019-20,Yorkshire and the Humber,Yorkshire and the Humber,Metropolitan borough council,Requires improvement to be good,100094,399,40,669,67,2259,215,10,0.19,1076,27954,42
Leeds,383,2019-20,Yorkshire and the Humber,Yorkshire and the Humber,Metropolitan borough council,Outstanding,169422,568,34,1346,79,5559,324,6,0.23,1438,45050,36
Wakefield,384,2019-20,Yorkshire and the Humber,Yorkshire and the Humber,Metropolitan borough council,Inadequate,73845,541,73,639,87,3028,294,10,0.22,1029,8414,16
Gateshead,390,2019-20,North East,North East,Metropolitan borough council,Good,39387,273,69,414,105,1516,302,20,0.23,1419,3900,14
Newcastle upon Tyne,391,2019-20,North East,North East,Metropolitan borough council,Requires improvement to be good,58451,587,100,662,113,2870,587,21,0.27,2669,13770,34
North Tyneside,392,2019-20,North East,North East,Metropolitan borough council,Outstanding,41851,138,33,299,71,1464,207,14,0.2,2526,2888,9
South Tyneside,393,2019-20,North East,North East,Metropolitan borough council,Good,30168,187,62,294,97,1345,199,15,0.28,2343,2052,9
Sunderland,394,2019-20,North East,North East,Metropolitan borough council,Inadequate,54849,367,67,582,106,2245,213,10,0.26,2021,3631,9
Isles of Scilly,420,2019-20,South West,South West,Council of the Isles of Scilly,Good,337,0,0,0,0,26,0,0,0.01,136,27,11
Bath and North East Somerset,800,2019-20,South West,South West,Unitary,Good,36247,134,37,181,50,1001,249,25,0.12,559,3819,14
"Bristol, City of",801,2019-20,South West,South West,Unitary,Requires improvement to be good,94136,296,31,623,66,2477,313,13,0.25,4224,23527,38
North Somerset,802,2019-20,South West,South West,Unitary,Requires improvement to be good,43711,90,21,230,53,860,118,14,0.15,575,3749,12
South Gloucestershire,803,2019-20,South West,South West,Unitary,Requires improvement to be good,59243,208,35,210,35,1721,249,15,0.12,574,7086,18
Hartlepool,805,2019-20,North East,North East,Unitary,Good,20054,185,92,316,158,1396,162,12,0.31,999,1081,7
Middlesbrough,806,2019-20,North East,North East,Unitary,Inadequate,32794,379,116,619,189,2852,193,7,0.36,2616,6913,28
Redcar and Cleveland,807,2019-20,North East,North East,Unitary,Requires improvement to be good,27608,260,94,348,126,1758,217,12,0.27,560,1059,5
Stockton-on-Tees,808,2019-20,North East,North East,Unitary,Requires improvement to be good,43848,352,80,576,131,2305,217,9,0.23,963,3954,12
"Kingston Upon Hull, City of",810,2019-20,Yorkshire and the Humber,Yorkshire and the Humber,Unitary,Inadequate,57370,514,90,867,151,3793,357,9,0.34,3629,8421,20
East Riding of Yorkshire,811,2019-20,Yorkshire and the Humber,Yorkshire and the Humber,Unitary,Inadequate,63044,224,36,340,54,2189,342,16,0.13,142,3412,8
North East Lincolnshire,812,2019-20,Yorkshire and the Humber,Yorkshire and the Humber,Unitary,Good,34518,407,118,572,166,2345,186,8,0.29,828,2153,9
North Lincolnshire,813,2019-20,Yorkshire and the Humber,Yorkshire and the Humber,Unitary,Outstanding,35638,73,21,231,65,999,115,12,0.21,204,3739,15
North Yorkshire,815,2019-20,Yorkshire and the Humber,Yorkshire and the Humber,County,Outstanding,117428,325,28,443,38,2605,483,19,0.11,77,7670,9
York,816,2019-20,Yorkshire and the Humber,Yorkshire and the Humber,Unitary,Good,36625,238,65,262,72,1239,108,9,0.12,775,3382,13
Luton,821,2019-20,East of England,East of England,Unitary,Inadequate,57487,247,43,387,67,2005,409,20,0.24,4914,31637,81
Bedford Borough,822,2019-20,East of England,East of England,Unitary,Requires improvement to be good,40689,153,38,253,62,1301,212,16,0.19,364,13647,47
Central Bedfordshire,823,2019-20,East of England,East of England,Unitary,Good,63665,155,24,314,49,1277,215,17,0.14,403,8547,19
Buckinghamshire,825,2019-20,South East,South East,County,Inadequate,125734,575,46,484,38,3328,595,18,0.1,348,31995,37
Milton Keynes,826,2019-20,South East,South East,Unitary,Requires improvement to be good,68805,132,19,403,59,2365,416,18,0.2,873,22062,47
Derbyshire,830,2019-20,East Midlands,East Midlands,County,Requires improvement to be good,154264,964,63,861,56,5558,623,11,0.17,315,8004,7
Derby,831,2019-20,East Midlands,East Midlands,Unitary,Good,59878,381,64,588,98,2674,340,13,0.25,3297,18690,43
Dorset,838,2019-20,South West,South West,County,Not yet inspected,67868,276,41,474,70,2854,253,9,0.13,152,3919,8
Poole,836,2019-20,South West,South West,Unitary,0,0,0,0,0,0,0,0,0,0.16,0,0,0
Bournemouth,837,2019-20,South West,South West,Unitary,0,0,0,0,0,0,0,0,0,0.19,0,0,0
Durham,840,2019-20,North East,North East,Unitary,Requires improvement to be good,101468,443,44,914,90,3551,388,11,0.24,238,4080,6
Darlington,841,2019-20,North East,North East,Unitary,Requires improvement to be good,22529,85,38,270,120,927,135,15,0.22,541,2109,13
East Sussex,845,2019-20,South East,South East,County,Outstanding,106338,536,50,592,56,3276,372,11,0.17,326,9448,14
Brighton and Hove,846,2019-20,South East,South East,Unitary,Good,50267,335,67,370,74,1815,178,10,0.18,3512,8879,28
Hampshire,850,2019-20,South East,South East,County,Outstanding,284331,938,33,1602,56,8293,1373,17,0.12,376,25491,14
