date,referrals
2012-01-01,7220.0
2012-02-01,6730.0
2012-03-01,6980.0
2012-04-01,6520.0
2012-05-01,8350.0
2012-06-01,7050.0
2012-07-01,7090.0
2012-08-01,6470.0
2012-09-01,6230.0
2012-10-01,7980.0
2012-11-01,7610.0
2012-12-01,6160.0
2013-01-01,8200.0
2013-02-01,6970.0
2013-03-01,7500.0
2013-04-01,6870.0
2013-05-01,7750.0
2013-06-01,7010.0
2013-07-01,8060.0
2013-08-01,6260.0
2013-09-01,6820.0
2013-10-01,8090.0
2013-11-01,7780.0
2013-12-01,6850.0
2014-01-01,7510.0
2014-02-01,7230.0
2014-03-01,8500.0
2014-04-01,6920.0
2014-05-01,7560.0
2014-06-01,8290.0
2014-07-01,8420.0
2014-08-01,5870.0
2014-09-01,7860.0
2014-10-01,8410.0
2014-11-01,8060.0
2014-12-01,7130.0
2015-01-01,8020.0
2015-02-01,8290.0
2015-03-01,8380.0
2015-04-01,7630.0
2015-05-01,7790.0
2015-06-01,9070.0
2015-07-01,8580.0
2015-08-01,5710.0
2015-09-01,7790.0
2015-10-01,8500.0
2015-11-01,8720.0
2015-12-01,7490.0
2016-01-01,8240.0
2016-02-01,7750.0
2016-03-01,9960.0
2016-04-01,8040.0
2016-05-01,8620.0
2016-06-01,9170.0
2016-07-01,8140.0
2016-08-01,6780.0
2016-09-01,8250.0
2016-10-01,8910.0
2016-11-01,9250.0
2016-12-01,7520.0
2017-01-01,9800.0
2017-02-01,8410.0
2017-03-01,9610.0
2017-04-01,6940.0
2017-05-01,10170.0
2017-06-01,10190.0
2017-07-01,9100.0
2017-08-01,7190.0
2017-09-01,8940.0
2017-10-01,10160.0
2017-11-01,10620.0
2017-12-01,8090.0
2018-01-01,9630.0
2018-02-01,9260.0
2018-03-01,9990.0
2018-04-01,8200.0
2018-05-01,9510.0
2018-06-01,9850.0
2018-07-01,9590.0
2018-08-01,7150.0
2018-09-01,8650.0
2018-10-01,10260.0
2018-11-01,10430.0
2018-12-01,8190.0
2019-01-01,9790.0
2019-02-01,9060.0
2019-03-01,7860.0
2019-04-01,8410.0
2019-05-01,9780.0
2019-06-01,9380.0
2019-07-01,10620.0
2019-08-01,7720.0
2019-09-01,9360.0
2019-10-01,10440.0
2019-11-01,10230.0
2019-12-01,8190.0
