date,referrals
2012-01-01,4200
2012-02-01,4090
2012-03-01,4290
2012-04-01,3690
2012-05-01,4800
2012-06-01,4160
2012-07-01,4130
2012-08-01,3800
2012-09-01,3400
2012-10-01,4700
2012-11-01,4390
2012-12-01,3490
2013-01-01,4890
2013-02-01,3980
2013-03-01,4370
2013-04-01,4250
2013-05-01,4730
2013-06-01,4110
2013-07-01,4860
2013-08-01,3770
2013-09-01,4090
2013-10-01,4890
2013-11-01,4660
2013-12-01,4200
2014-01-01,4550
2014-02-01,4190
2014-03-01,5330
2014-04-01,4250
2014-05-01,4610
2014-06-01,4870
2014-07-01,5140
2014-08-01,3520
2014-09-01,4820
2014-10-01,5010
2014-11-01,4890
2014-12-01,4360
2015-01-01,4360
2015-02-01,4580
2015-03-01,4750
2015-04-01,4670
2015-05-01,4760
2015-06-01,5570
2015-07-01,5440
2015-08-01,3530
2015-09-01,5000
2015-10-01,5080
2015-11-01,5150
2015-12-01,4280
2016-01-01,5010
2016-02-01,4590
2016-03-01,5970
2016-04-01,4660
2016-05-01,5060
2016-06-01,5180
2016-07-01,4950
2016-08-01,3970
2016-09-01,4890
2016-10-01,5480
2016-11-01,5500
2016-12-01,4680
2017-01-01,5800
2017-02-01,5050
2017-03-01,5670
2017-04-01,4060
2017-05-01,5880
2017-06-01,6080
2017-07-01,5510
2017-08-01,4230
2017-09-01,5280
2017-10-01,6220
2017-11-01,6420
2017-12-01,4640
2018-01-01,5870
2018-02-01,5640
2018-03-01,6230
2018-04-01,4940
2018-05-01,5730
2018-06-01,6010
2018-07-01,5680
2018-08-01,4430
2018-09-01,5350
2018-10-01,6040
2018-11-01,6330
2018-12-01,4950
2019-01-01,5770
2019-02-01,5590
2019-03-01,4720
2019-04-01,5110
2019-05-01,5990
2019-06-01,5910
2019-07-01,6530
2019-08-01,4900
2019-09-01,5650
2019-10-01,6360
2019-11-01,6090
2019-12-01,5000
